Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-02-19 11:35:16,2,Sam,0,0,0,0,0.1875,0.38626808
2026-02-19 11:39:06,6,Sam,0,1,0,0,0.7402777,0.12143857
2026-02-19 11:40:35,7,04 Charlie Wagner,1,0,0,0,0.34861115,0.8958431
2026-02-19 11:43:08,8,Kahlil,1,0,0,0,0.3944444,0.856142
2026-02-19 11:43:50,8,Uri,0,0,0,0,0.1444444,0.47501168
2026-02-19 11:47:25,12,Jonas,0,0,0,0,0.29166666,0.5464736
2026-02-19 11:48:28,12,Sam,0,0,0,0,0.35833332,0.6132648
2026-02-19 11:51:34,15,JHL  ,1,0,0,0,0.57638896,0.8687529
2026-02-19 11:53:19,15,Finn,0,0,0,0,0.1680556,0.42036432
2026-02-19 11:58:15,20,Joe,1,0,0,0,0.4944444,0.8785614
2026-02-19 12:00:52,21,Sam,0,0,0,0,0.27083334,0.43671182
2026-02-19 12:02:21,22,Zach,0,0,0,0,0.27361107,0.5791686
2026-02-19 12:03:11,22,Elliot,0,0,0,0,0.33611107,0.6562354
