Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-02-18 21:58:37,1,04 Charlie Wagner,0,0,0,0,0.45277774,0.65670246
2026-02-18 22:04:41,3,01 Orlando Impas,0,0,0,0,0.11527774,0.62914526
2026-02-18 22:06:07,3,Sam,0,0,0,0,0.19861107,0.568893
2026-02-18 22:17:38,8,Kahlil,0,0,0,0,0.7361111,0.5894442
2026-02-18 22:18:52,8,04 Charlie Wagner,1,0,0,0,0.72222227,0.88136387
2026-02-18 22:22:44,9,Aiden jacobs,0,0,0,0,0.7291667,0.48014945
2026-02-18 22:27:59,12,Aiden jacobs,0,0,0,0,0.8333333,0.5254554
2026-02-18 22:32:36,14,Jed,1,0,0,0,0.175,0.8622139
2026-02-18 22:35:49,15,Uri,0,0,0,0,0.6958333,0.4698739
2026-02-18 22:37:42,16,Aiden jacobs,1,0,0,0,0.1777778,0.8211116
2026-02-18 22:41:32,18,Uri,0,0,0,0,0.8986111,0.46333492
2026-02-18 22:46:51,21,04 Charlie Wagner,0,0,0,0,0.29305553,0.61560017
2026-02-18 22:49:35,23,04 Charlie Wagner,1,0,0,0,0.49583334,0.8851004
